comments,extremist
একটা টিকেট এক কেজি চাল। জয় বাংলা।,0
"মিথ্যাচার আর অত্যাচার দুইয়ে মিলে স্বৈরাচার। স্বৈরাচার নিপাত যাক,গণতন্ত্র মুক্তি পাক",1
গিরিঙ্গীবাজ ভালো হল রাজাকারের পোলা এইখানে আসেনাই।,0
এই সৈরাশাসক এর হাতে এ দেশ কখনোই স্বাধীন নয়,1
এই দেশ স্বাধীন হইয়াও যেনো হলোনা স্বাধীন।,0
এই ত চেতনা,0
আইন সবাই জন্য সমান,0
তাহলে কি রকম রিজয় আপনারা পালন করেন?,0
এই কি স্বাধীনতা,0
ফখরুল মুক্তিযোদ্ধা? হা হা হা,1
রাজনীতিতে যদি পার্থ স্যার এর মতো মানুষ থাকেন তাহলে রাজনীতি সুন্দর হয়।,0
বাংলাদেশে কেউ চুরি করে শিকার করে না,0
ভারপ্রাপ্ত মহাসচিব খন্দকার মাহবুবুল।আলম খোকন কে দেখলে ভাল লাগত,0
স্বৈরাচার নিপাত যাক গণতন্ত্র মুক্তি পাক,1
ধন্যবাদ জিয়ার সৈনিক,0
সিনিয়র নেতাদের গাড়ীতে উঠে গেলে স্পিট ভাল হত।,0
গন মিছিল সফল হবে ইনশাআল্লাল,0
মার্কিন রাষ্ট্রদূত দুর্নীতিবাজ সরকারের বিরুদ্ধে যে গেমটা খেলল সে জন্য উনাকে আন্তরিক অভিনন্দন ও শুভেচ্ছা,1
"এদেশের স্বাধীনতা মানেই জিয়া, বিজয় মানেই জিয়ার রনাঙ্গণের অর্জন।",0
বিজয় দিনে পাকিস্তানি বাহিনী রাস্তায় পাগলামি,1
"এতো অবিচার দেশে ,সুবিচারের জন্য মানুষ কোথায় যাবে ?",0
বিজয় দিবসের শুভেচ্ছা,0
জিয়া তোমার কথা মনে পড়ে । ,0
স্বৈরাচারী সরকার নিপাত যাক গণতন্ত্র মুক্তি পাক এটাই দাবি জনগণের।,1
স্বাধীনতার ঘোষক জিয়া তোমায় সালাম । ,0
রাজকারের দল বিজয় দিবস পালন করে,1
"খুনি জিয়া,খুনি জিয়া",1
"আজকের তার কান্না দেখে আমি চোখের পানি আটকাতে পারি নি,,,",0
এটা সু পরিকল্পিত হত্যা.... প্রশাসন নিজ ইচ্ছে মতে নিউজ তৈরি করে সাংবাদিকদের ডেকে এনে ব্রিফিং করে। এটাই হলো আওয়ামিলীগের বাঙ্গাদেশ।।,1
এদেশে কোনো সন্ত্রাসবাদ নেই সব বিএনপির স্বরযন্ত্র।,1
সাধারণ মানুষের কথা বলে এমন লোকদের আনেন,0
ছাত্রলীগ এখন নুরের সংগঠন দেখেও ভয় পাই আহ কঠিন মুহূর্ত আওয়ামী লীগের জন্য,1
শিশুসুলভ কথা বার্তা,0
ছাত্রলীগ আওয়ামী লীগ বর্তমানে নুর সেনাদের দেখে ভয় পায়,1
গনতান্ত্রিক দেশে রাজনীতি করা সবার অধিকার আছে।,0
এরা ব্রিটিশ শাসনকে হার মানাবে,1
কি জন্য হামলার শিকার হয়েছেন? নিশ্চয়ই কারণ আছে,0
এরা অস্তিত্ব সংকটে পড়ে পাগল হয়ে গেছে।ভদ্রতাকে দুর্বলতা ভাবলে ভুল করবে।,0
অর্তান্ত দুঃখ জনক,0
কেন নূরের অনুসারীদের পুলিশে দিবে কেন!ছাত্রলীগ তাদের মারবে কেন তারা কে!?সন্ত্রাস কারা জনগন জানে,1
শক্তিশালী ছাত্রলীগ তা রুখে দিচ্ছে।,0
ওখানে ঠেলা ঠেলি করে কারা,0
দেশের সবকিছু চুরি করে বাইরের দেশে নিয়ে যাও মুক্তিযোদ্ধারা শান্তি তে থাকবে।,1
বিনম্র শ্রদ্ধা বাংলাদেশের প্রকৃত মুক্তিযোদ্ধাদের,0
আগে মেজর জলিল কে ফিরিয়ে আন।,1
সরকার তাদের প্রতি ও তাদের পরিবারের প্রতি খেয়াল রাখতে হবে,0
স্যার কিন্তু শিশু মুক্তিযোদ্ধা।,0
একমত । বীর মুক্তিযোদ্ধারা বাংলাদেশের গর্ব ,0
মুক্তিযুদ্ধের সময় ৫ বছর বয়সী একমাত্র ভোট চুরি করে এমপি হওয়া মুক্তিযোদ্ধা,1
ইন্ডিয়ার দাসত্ব মেনে নেওয়াটা বিজয় নষ্ট করার সমান।,1
যার অন্তর যেমন সে দেখবে ও তেমন।,0
আওয়ামিলীগ হলো ১ নাম্বার স্বাধীনতা বিরোধী,1
"বিজয়তো নষ্ট হয়ে গেছে, যেমন: ভোট দিতে পারি না।",0
সব বিষয়েই এত ষড়যন্ত্র কেন?,0
আপনি জানি কয় নম্বর সেক্টরে ছিলেন!,0
হ কা কা .. যা আপনারাই করতেছেন..,0
সেই দলের নাম হচ্ছে আওয়ামী লীগ,0
দেশ চলবে না?অবাইদুল কথায়,1
আরেকজন আওয়ামী দালাল,1
নস্ট করার কি বাকি আছে কাকা?? নস্টতো করেই ফেলছেন।।,1
আপনারাইতো দেশের স্বাধীনতাকে ও বিজয়কে পুরোপুরিভাবে ধ্বংস করে দিছেন।,1
"এর মুখে আল্লাহ সত্য কথা, ভালো কথা, হিংস্র কথাই কি রেখে দিয়েছেন। লোকটা নেগেটিভ কথা ছাড়া আর কোন কথাই বলেনা।",0
"স্যার একজন ভালো মনের মানুষ,",0
নষ্ট করছে কে তাতো জনগণ দেখছে,0
"সিকি নেতা,,,, আদুলী নেতা,,,, পাতী নেতা,,, শুধু নেতা আর নেতা কর্মী কোথায়",0
ওকা সাহেব মহান মুক্তিযুদ্ধের সময় আপনি কোন সেক্টরে যুদ্ধ করেছিলেন? এবং আপনার প্রাপ্ত খেতাব কোনটি?,0
আপনারা ত নষ্ট করেই দিয়েছেন বাকি রইলো কি,1
সবকিছুর মূলে দায়ী আপনারা দেশটা শেষ করেছেন বিশেষ করে আপনি আরো বেশি,1
ভোটাধিকার ফেরত চাই। ডাকাতদের হাত থেকে মুক্তি চাই।,1
মার্কিন যুক্তরাষ্ট্রের উপর নিষেধাজ্ঞা দিয়ে দিলেই তো হয় কাকু।।,0
সামরিক উপায়ে সমাধান করা যায়না কাকু????,0
শুনলাম যুক্তরাষ্ট্রকে নাকি নিষেধাজ্ঞা দিবেন?,0
আমেরিকার সাথে সামরিক উপায়ে ফায়সালা চাই,0
এখন জনগণের ভোগান্তি হচ্ছে না-মাননীয় পুলিশলীগ ভায়েরা?,0
এখব জনগণের ভোগান্তির খবর নেই,0
গাড়ি দিয়ে রাস্তায় শোভা যাত্রা করছে,0
এখন আর মানুষের দুর্ভোগ হয় না?,0
পুলিশ রাস্তা বন্ধ করে মিছিল করার অনুমতি দিয়েছে ?,0
"শেখ হাসিনা ডিজিটাল বাংলাদেশ করার কথা বলেছিলেন, আওয়ামী লীগ তা করে দেখিয়েছে।",0
"বিশ্বব্যাংক, জাতিসংঘ, যুক্তরাষ্ট্রসহ বিশ্বের বহু দেশ বাংলাদেশের উন্নয়নের প্রশংসায় পঞ্চমুখ।",0
যুক্তরাষ্ট্র যাতে নিষেধাজ্ঞা দেয় সেজন্য বিএনপি কোমর বেঁধে সেই চেষ্টা করেছিল। কিন্তু সফল হননি।,1
২০৪১ সালের মধ্যে স্মার্ট বাংলাদেশ করার ঘোষণা দিয়েছেন বর্তমান আঃলীগ ও শেখ হাসিনা সরকার।,0
আসলে বিএনপি দেশ ধ্বংসের এজেন্ডা নিয়ে এসেছে,1
"একটি রাজনৈতিক দলের যেসব লক্ষ্য, উদ্দেশ্য থাকে তার কোনটাই এখন নেই বিএনপির।",1
আমরা সব সূচকে পাকিস্তানকে পেছনে ফেলে অনেক এগিয়ে গেছি যা অনেকের মন খারাপের কারণ।,0
"বিএনপির তো কোন নীতিই নাই, তারা কিভাবে রাজনীতি করবে?",0
আন্তর্জাতিক পরিমন্ডলে ষড়যন্ত্র ছাড়া আর কিছু করতে পারেনি বিএনপি।,1
বিএনপি তদবির করে নিষেধাজ্ঞা দেওয়ার চেষ্টা করে।,0
জাতিসংঘের খাদ্য ও কৃষি সংস্থা আমাদেরকে কৃষির মডেল হিসেবে বিশ্বে উপস্থাপন করে।,0
"সিকি নেতা,,,, আদুলী নেতা,,,,, পাতী নেতা,,, শুধু নেতা আর নেতা কর্মী কোথায়",1
আপনারা কত অপচেষ্টা করেছেন সেটা ভুলে যাইনি।,1
রাতের ভোট মুক্তিযুদ্ধের চেতনা!,1
৭১ যে সব ভারতীয় দালালরা পালিয়ে ভারতে আশ্রয় নিয়েছিলো তারাই এখন স্বাধীনতা ঝান্ডা হাতে নিয়ে ব্যাবসা করে খাচ্ছে।,1
"ইনশাআল্লাহ, আর বেশি দিন নাই আপনারা।",0
বাংলার মানুষ সেটা ভালো করেই জানে কে কতটুকু পারদর্শী ছলচাতুরিতে,1
ভোট ডাকাত দল আওয়ামী লীগ,1
ছল চাতুরী করে তত্ত্বাবধায়ক সরকার ব্যবস্থা বাতিল করা হয়েছে।,0
কনছে কি এক জামেলাই পরলাম নির্বেজাল অসত্য কতাটার জন্য কতকিছু মন চাই বলতে কিন্তু লিখে প্রকাশ করতে পারিনা,0
এবারও শান্তিপুর্ণ ভাবে ক্ষমতা হস্তান্তর করলে জনগণ খুশী হবে।,0
গত ৫০০ বছরে শান্তিপূর্ণ ক্ষমতা হস্তান্তরিত হয়েছে এমন ইতিহাস আছে কি?,0
নাই। আওয়ামীলীগ দাবী করছে। আমি আবার এঁদের দাবীর সাথে ঐক্যমত পোষন করি ,0
কাকু বুকে আসেন ,0
বর্তমান আঃলীগ সরকারের প্রত্যয় হচ্ছে দেশবিরোধী সমস্ত অপশক্তিকে দমন করে দেশকে স্বপ্নের ঠিকানায় পৌঁছে দেওয়া।,0
যারা একাত্তরে প্রকাশ্যে মুক্তিযুদ্ধের বিরোধীতা করেছে তাদের সাথেও জোটবদ্ধ বিএনপি।,1
স্বাধীনতা বিরোধীদের সাথে নিয়ে বিএনপির আসলে কোন ভবিষ্যতই নেই।,1
সকলেই বলেন আমিন।,0
বর্তমান আঃলীগ সরকারের স্বপ্নের ঠিকানা হচ্ছে ২০৪১ সাল নাগাদ বাংলাদেশকে পরিপূর্ণভাবে একটি উন্নত দেশে রূপান্তর করা।,0
ওবায়দুল কাকা শেষ কবে সত্য বলেছেন তার নিজের ও মনে নেই।,1
বিএনপি গনতন্ত্রের অর্থ বুঝে না।,1
"শেখ হাসিনা ডিজিটাল বাংলাদেশ করার কথা বলেছিলেন, আওয়ামী লীগ তা করে দেখিয়েছে।",0
"আওয়ামী লীগ নয়, বিএনপিই জাতির সঙ্গে ছলচাতুরি করে।",1
শেখ হাসিনার হাতে হবে আজকের বাংলাদেশ হবে আগামীর স্মার্ট বাংলাদেশ।,0
"ঠিক,,, কিন্তুু এখন আর না",0
ক্ষমতায় থাকতে বিএনপি গণতন্ত্র গিলে খেয়েছিল।,1
বাংলাদেশ আওয়ামী লীগ গণতন্ত্রে বিশ্বাসী।,0
২০৪১ সালের মধ্যে স্মার্ট বাংলাদেশ করার ঘোষণা দিয়েছেন বর্তমান আঃলীগ ও শেখ হাসিনা সরকার।,0
ও হ নোবেল দেওয়া দরকার,0
",সাথে হুজুররা ও আছে তো",0
বাংলাদেশকে ডিজিটাল বাংলাদেশে রূপান্তর করেছেন জননেত্রী শেখ হাসিনা।,0
আওয়ামী লীগ একটা চিটার লীগ চিটার সব নেতা কমি,1
"বি,এন,পি, বেশি শেয়ানা,স্যার।",1
তা হলে তো ক্ষমতায় থাকতো,0
রাতে নাকি দিনে? জানতে চাওয়া আমার মন।,0
এখন সৈরসাসক হইচে।,1
জোকার কাদের,1
এ সকল মন্ত্রী গুলো হয় গাঞ্জা খোর নয়তো বাবা খোর।,1
এই প্রতিবন্ধী গুলোর আচরণে জাতি অতিষ্ঠ!,1
আওয়ামীলীগ ছাড়া দেশের ভালো কেউ চায়না! আওয়ামীলীগ ছাড়া দেশের সকলেই মন্দ লোক এটা নূতন কি।,0
আওয়ামী লীগের আমলেই মানুষ গত ১৫ বছর ধরে ভোট দিতে পারছে না,1
"বিএনপি করে নালিশ, অভিযোগ ও স্বার্থের রাজনীতি।",1
"হাসিনা’র গড়া দল,",0
ব্যারিস্টার নাজমুল হুদা যে শেখ হাসিনার পাচাটা চামচা এটা কিন্তু সবারই জানা।,1
"আমি একটা নতুন দল গঠন করতে চাই, দলের নাম হবে ""তৃণমূল আওয়ামীলীগ"" হাসিনার আদালত থেকে একই ধরনের রায় পাবো তো?",0
"তৃণমূল বিএনপি এ নামটিত বিএনপিরই একটি অংগসংঘঠন হতে পারে, তবে বিএনপির অনুমোদন ছাড়া তৃণমূল বিএনপি টিকবে না তা যার ইশারায় চলুক।",0
এ'জন্যই বীর মুক্তিযোদ্ধাদের কন্ঠে করুন আর্তনাদ শুনতে হয় এই রকম দেশের জন্য কি যুদ্ধ করেছি? সেদিন শহীদ হলে এই রাষ্ট্র দেখতে হতো না।,0
আগাছা কখনো ফসলের চাইতে বড় হইতে পারে না। শুধু নিড়ানির প্রয়োজন হয়,0
সরকারের নতুন নাটক।,1
যে খানে সব রায় আসে গনভবন থেকে সেখানে বিচরক শুদু মাএ পাঠক এর ভুমিকায় অবতীর্ণ।,0
গণভবন থেকে যেই নির্দেশ আসবে সেটাই আদালত বহাল রাখবে।,0
তৃনমুল আওয়ামী লীগের স্বপ্ন ও দেখা হয়ে গিয়েছে শুধু সময় বদলানোর সাথে সাথে কাজটাও হয়ে যাবে।,0
"আওয়ামী লীগের মনের আশা মিটাতে পারে! বি চৌধুরী, কর্নেল অলি মিটাতে পারে নাই গৃহপালিত হওয়ার খায়েশ ছিল হুদার, চেষ্টার কমতি ছিলনা এতদিনে ভাগ্যের শিকা ছিঁড়ে হাতে এল!",0
"সব কিছু কি এখন হাইকোর্ট কর, দলের নেতা নির্বাচন। দলের নিবন্ধন হা হা",0
"এখন তো আদালত কিছু বলেনা, গণভবন থেকে সব রায় হয়",0
দেখেন আবার তৃণমূল আওয়ামী লীগ নামে কোন দল যেন না গড়ে উঠে ভবিষ্যতে!,0
নোবেল দেওয়া উচিৎ,0
আমি খুজতেছি তেরনমুল আওয়ামীল,1
আর কতো নাটক দেখাবি তোরা।।।।,1
সাথে এর চেয়ারম্যান কে নোবেল পুরষ্কার দেওয়া হউক।,1
আমি একটা নতুন দল গঠন করতে চাই! নাম দিবোরাজনীতির মাইরে ফিসিং ফিসিং!এটা হাইকোর্টে অনুমতি দিবেন কি?,1
বিএনপিকে ঘায়েল করার জন্য আরো কতো কিছু,0
এক নেতা একদল,0
পকেট আদালত নাজমুল হুদার জীবনটা সত্যি সত্যি হুদা করে দিলো !!!,1
আওয়ামিলীগ এর পা চাটার দল বাংলাদেশের বিচারক,1
হাসিনার পা সাঠা কোর্ড রায়ত দিবেই,1
তৃণমূল বিএনপি। পুরান পাগলে ভাত হয় না নতুন পাগলের আমদানি।,1
হাইকোর্ট সুপ্রীম কোর্ট শেখ হাসিনার পেডিকোট।,1
"নাজমুল হুদার দল,",0
"বিএনপি - আওয়ামী লীগ থেকে বের হয়ে বা বহিষ্কার হয়ে যারা নতুন দল গঠন করেছেন তার যে কি অবস্থায় আছে, তা সবার জানা।",0
"দেশের হাইকোর্ট, জজকোর্ট, সুপ্রিমকোর্ট চলে একজনের নির্দেশে আর এসব দাঁড়িয়ে আছে জনগনকে বোকা বানানোর কাজে।",0
সোহেল তাজ এর নেতৃত্বে তৃণমূল আয়ামীলীগ চাই,0
সরকারের নাটকীয় চরিত্র ভালই জমে উঠেছে,1
সময়ের ব্যবধানে কেউ না কেউ তৃনমূল আওয়ামীলীগ নামে চাইতে পারে। ,0
যতই মূলা আর তোলা আসুক না বিএনপি বিএনপি ই। ,0
দরবেশ চাচা দুর্নীতিবাজ ভাতিজা জিন্দাবাদ।,1
কি একটা নির্লজ্জ খেলা মেতেছে এরা।,1
আওয়ামী আদালতের রায়?,0
আমরা তৃণমূল আওয়ামীলীগ দেখতে চাই,0
দ্রুত দেন যারা আসবে তাদেরও তো চেটে খেতে হবে!,1
ভোটের সময়ে দেখতে পাবেন।,0
যদি ভোট হয় উনার জামানত থাকবেনা,0
অর্থমন্ত্রীর দায়িত্ব নাকি আইন মেনে প্রধানমন্ত্রী পালন করছেন।,0
এখন অটো পাশ কর্মীদের দরকার নেই আর একটা গালি আছে কর্মী গনার টাইম নাই,1
কোথায় আতোর আলী আর কোথায় জুতার কালী!!!,1
ভাসানীকে নিয়ে এমন মন্তব্যের তিব্র নিন্দা জানাই,0
বিশ্বসেরা বলে কথা ,0
তীব্র নিন্দা জানাই মহান নেতা মাওলানা আব্দুল হামিদ খান ভাসানীর সাথে অন্য কারও তুলনা করার।,0
কত বড় নির্বোধ হলে ভাসানির মতো একজন নেতার সাথে কার তুলনা করে,1
বেশিরভাগ অযোগ্য লোক চেয়ার দখল করে আছে এটা শুধু আমাদের জন্য সরকারের জন্য ও বিপদজনক,0
সরকার যারা তাদের মধ্যে ইনি অপছন্দনীয় ব্যক্তিত্ব ।,0
বিরোধী রাজনৈতিক নেতার ট্যাকটিস এবং দায়িত্বরত অর্থমন্ত্রীর কার্যক্রম এক হতে পারে না,0
ভাসানীর লুঙ্গী বর্তমান অর্থমন্ত্রী ,1
মহান নেতার লুংগির অপমান করলেন ভাই,0
ভাসানীর সাথে কি করে তুলনা করেছেন ?,0
"প্রথম আলো, ভারতের স্বার্থে, ভাসানীকে নিয়ে এমন মিথ্যাচার করছে ।",1
জাতি আজ লজ্জিত এজন্য যে মাওলানা ভাসানী কে নিয়ে এ ধরনের মন্তব্য,0
চরম ব্যর্থ একজন অর্থ মন্ত্রী।,0
মাওলানা ভাষানিকে নিয়ে এমন কথা বলার সাহস কি করে হয় সাংবাদিকদের,0
হাই আললাহ কার সাথে কার মিল কললো,0
কিছু নেতা আছে তাদের সাথে তুলনা কারা যায় না তাদের সাথে কোন কিছু বিশেষন হয় না,0
বাংলাদেশের গুরুত্বপূর্ণ একটা মন্ত্রণালয়ের নিষ্ক্রিয় মন্ত্রী।,1
ভাসানী শেখের চেয়েও বেশি অবদান আছে,0
ভাসানীকে নিয়ে বিরূপ মন্তব্যের নিন্দা জানাই,0
হা হা একদম সত্যি কথা ,0
কিসের সাথে কি।,0
"১৫ বছর খালেদা জিয়া ক্ষমতার বাহিরে তারপরও তার ছায়ার সঙ্গে শেখ হাসিনাকে যুদ্ধ করতে হচ্ছে। হ্যাঁ এটাই বাস্তবতা, এটাই খালেদা জিয়ার জনপ্রিয়তা",0
আপনি টিকই বলেছেন এই পরিবার থেকে শিখার আছে একমাত্র চুরি করে কিভাবে ক্ষমতায় আসা যায়,1
"নোয়াখালীর কাকা শেখ হাসিনার কাছ থেকে ভোট ডাকাতি করা শিখবেন! এই পরিবার থেকে অনেক কিছুই শেখার আছে। এই যেমন, বাকশাল কায়েম করা, ব্যাংক ডাকাতি করা, খুন, গুম করা, লুট-পাট করা, টাকা পাচার ইত্যাদি যাবতীয় অন্যায়-অবিচার সহ কতো কিছুই না শেখার আছে!",1
"কিভাবে, মানুষ মেরে ক্ষমতায় আসা যায়, বাসে আগুন দিয়ে মানুষ পুরিয়ে অন্য দলের নাম দেয়া যায়, ক্ষমতার জন্য কতক্ষানি নিচে নামা যায় এগুলি ওনার চাইতে আর কেউ ভাল শিখাতে পারবে না।",1
সকল সংকটের মূল ই তো হাসিনা।,1
কিভাবে মানুষ গুম করা যায় শিখতে হবে তাই না কাকু।,1
এত বছর একটা ছেলে মেয়েতো বানাইতে পারেন না এত ক্ষমতা শুধু পাড়ে খেলা হবে,1
আপনি বেশি করে শিখেন,0
"এই সেই কাদের কাকা! যিনি সময়ের দোষ গুণে কখনো শেখ হাসিনার পক্ষে বলেন, কখনো বিরুদ্ধে বলেন...! এক-এগারোর সময় আমরা প্রমাণ পেয়েছি।",1
শিখার আচে দিনের ভোট রাতে কিভাবে করতে হয় তাহা শিখার দরকার মানুষ কে জিম্মি বা গুম কি ভাবে করতে হয় তাহা শিখার আছে,1
যে কথা বলেছেন ঠিক বলেছেন ভোট ছাড়া কিভাবে নির্বাচনে জেতা যায় তা ওনার কাছে শিখতে হবে,1
শিখেন কোন সমস্যা নেই জন্ম থেকে মৃত্যু পযন্ত,0
একারনেই আপনাদের চরিত্র ফুলের মতো পবিত্র।,0
কাওয়া কাক্কু কথা কম বললে ভালো।,0
আগে জাহা সিখেছো তার দুর্গন্ধে বাংলাদেশ ভোরে গেছে ।,0
আহা রে ! শুধু তেল আর তেল...,0
কাকু খেলা কি হবে ,0
কিসের সংকট ভাইয়া??আমার কাছে দেশ এখন আমেরিকা আমেরিকা লাগে,0
এজন্যই সব কিছুর দাম বেশি,0
"মাশা-আল্লাহ কাকু আপনার অনেক উন্নতি হয়েছে, আমরা আপনাকে নিয়ে গর্বিত,আপনি দেশের ও দশের মুখ উজ্জ্বল করেছেন | আর তাই সবাই আপনাকে হিংসা করে",0
ওবাইদুল কাদের সাহেব আপনি শিখেন যা শেখার আছে আমাদের শেখার দরকার নাই,0
কুকীর্তি আরো শেখার প্রয়োজন আছে কি?,1
তেলের দাম লিটারে ৫ টাকা কমেছে বটে কাদিরা যেভাবে তেল মারতেছে তাতে লিটারে ৫০ টাকা বেড়ে যাওয়ার সম্ভাবনা আছে।,0
এবার হবে স্ম৷র্ট চুরি,1
এর জন্যই তিনি ১৯৮১ সালে দেশে ফিরে আসেনএবং সম্ভাবনা কে সংকটে রূপায়ণ করেন। জয় বাংলা।,1
আপনারা শিখেন জনগণের শিক্ষা হয়ে গেছে,0
কিভাবে চুরি করতে হয়,1
তেলের মূল্য প্রতি লিটার ৯৫০ টাকা করার দাবি জানাচ্ছি।,0
গণতান্ত্রিক উপায়ে ক্ষমতায় যেতে পারবে না বলেই বিএনপি দেশে-বিদেশে ষড়যন্ত্র করছে,1
এটি বাস্তবায়ন করা হলে একটি সত্যিকার উদার গণতান্ত্রিক এবং মানবিক রাষ্ট্র গঠনের পথ সুদৃঢ় হবে বিশ্বাস করি।,0
সাম্প্রদায়িকতা মুক্ত হয়ে সকলের জন্য সমান অধিকার যেদিন বিএনপির সকল নেতাকর্মীরা ভাবতে পারবে সেদিন রাষ্ট্র মেরামতের কথা চিন্তা করতে পারে বিএনপি।,0
"বিএনপি দেশের জন্য, দেশের মানুষের জন্য মৌলিক যে কাজগুলো করা দরকার যেটা তাদের ভাবনার ভেতরে নেই।",0
বিএনপির উচিৎ আগে নিজেদের চিন্তাভাবনার মেরামত করা।,0
জনবিচ্ছিন্ন দল বিএনপি কখনোই জনগণের ভাগ্যের পরিবর্তন আনতে পারবে না।,0
কারিগরী শিক্ষা বাধ্যতামূলক করা উচিত ছিল।,0
বিএনপির রাষ্ট্র কাঠামো মেরামতের রূপরেখা শোভা পায় না,0
"বিএনপির ক্ষমতায় আসার কোনো সুযোগ নেই, সংসদে সংখ্যাগরিষ্ঠ আসন লাভের কোনো রকম সম্ভাবনা নেই তাদের।",0
"রাষ্ট্র কাঠামোর মেরামত করার যে কথাটি বলে, এটা শুনে আমরা শঙ্কিত হই জনগণের কথা ভেবে।",0
জনকল্যান বিএনপির নীতির মধ্যে নেই,1
নিজেদের সন্ত্রাসী সংগঠন হিসেবে রেখে রাষ্ট্র মেরামত বিলাসিতার নামান্তর।,1
"বিএনপি দেশের জন্য, দেশের মানুষের জন্য মৌলিক যে কাজগুলো করা দরকার যেটা তাদের ভাবনার ভেতরে নেই।",0
সাম্প্রদায়িকতা মুক্ত হয়ে সকলের জন্য সমান অধিকার যেদিন বিএনপির সকল নেতাকর্মীরা ভাবতে পারবে সেদিন রাষ্ট্র মেরামতের কথা চিন্তা করতে পারে বিএনপি।,0
"আপনারা কি করবেন ,জনগন এটা অনেক আগেই বুঝে গেছে ,জনগণের জন্য যা যা দরকার সেটা শেখ হাসিনা ইতোমধ্যে করে ফেলেছে ,সামান্য বাকী আছে",0
জনকল্যান বিএনপির নীতির মধ্যে নেই,0
আগেও কিছু করতে পারেন নাই এখনও পারবেন না,0
খুনি রাজাকার যুদ্ধ অপরাধীদের দল।,1
কয়লা ধুইলে ময়লা যায় না।,1
"বি এন পি'র জন্য কিছু রাখলেই তো খেতে পারবে,সব তো আফনেরাই খাই খাই ফেলেছেন ",1
গণতান্ত্রিক উপায়ে ক্ষমতায় যেতে পারবে না বলেই বিএনপি দেশে-বিদেশে ষড়যন্ত্র করছে,1
জনকল্যাণটা আছে কার মধ্যে দেখাবেন কি প্লিজ বাংলাদেশের দুটো দল আছে মুদ্রার এপিটা ওপিট,0
"মাঝে মাঝে দেশের আবহাওয়ার খবর রাইখেন কাদের ভাই, নয়তো পিঠ বাঁচানোর রাস্তা ও খুঁজে পাবেন না",1
"যখন উনাদের দল রাষ্ট্র ক্ষমতায় ছিল, তখন কেন ২৭ দফা বাস্তবায়ন করেননি!",0
ঐ সময় দরকার পরনি তা-ই।,0
"ব্যাংক ডাকাতি, শেয়ারবাজার লুট, রির্জাভ চুরি, কুইকরেন্টালের নামে হরিলুট, ভোট ডাকাতি এগুলো কি।",1
দূর্নীতিবাজ বিএনপি কিভাবে রাস্ট্র কাঠামো মেরামত করবে?,1
ক্ষমতা পরিবর্তনশীল এটাই ইতিহাস...,0
অবৈধ অনির্বাচিত জবরদখলকারী পেশিবাদ হটিয়ে একটি বৈধ গনতান্ত্রিক সরকারের প্রয়োজনে জাত ধর্ম বর্ণ নির্বিশেষে সকলের কর্তব্য।,0
"হটাতে কেন?গনতান্ত্রিক দেশে ভোটের মাধ্যমে তার নেতা নির্বাচন করবে,এটাই স্বাভাবিক।",0
নিরপেক্ষ তত্ত্বাবধায়ক সরকারের অধিনে ছাড়া আর কোনো নির্বাচন অনুষ্ঠিত হবে না,0
ক্ষমতায় থাকতে ভোট চোর সব এক হয়েছে।,1
দেশের সকল গনতন্ত্র সচেতন মানুষ ভোট ডাকাতদের বিরুদ্ধে ঐক্য বদ্ধ,0
শুধু ডান বাম ইসলামি জুলুমের সিকার গনতন্ত্রকামি দেশের সকল মানুষ এক এবার মানুষ পরিবর্তন চায়,0
দেখ কাকু হঠানো কোন দরকার করা নাই সুদু একটা নিরপেক্ষ নির্বাচন চাই ৷ তাতে আপনার নির্বাচিত হয়ে আসেনা কোন সমস্যা নেই৷৷৷৷,0
আপনার মনে এত ভয় কিসের এবার যদি মনে করেন রাতে নির্বাচন হবে এটা ভুলে যান এবার জনগনই ঠিক করবে কে ক্ষমতা আসবে।,1
ইহা বড় অন্যায় মাননীয় শেখ হাসিনার বাবার দেশ যারা এক হয়েছে তারা সবাই রোহিঙ্গা।,1
রোহিঙ্গাদের এমন কর্মকাণ্ড রাষ্ট্রদ্রোহীতার শামিল।,1
"সৈরাচার, জুলুমবাজ, ফ্যাসিবাদ, বাকশালের বিরুদ্ধে সবার উচিত এক কাতারে সামিল হওয়া। হঠাও মাফিয়া, বাঁচাও দেশ।",1
"হটানো কি এতো সহজ? , ষড়যন্ত্র করতে এক হয়েছে হটাতে না।",0
"ক্ষমতা কারো চিরস্থায়ী নয়, কেউ সেচ্ছাই ছেড়ে দেয়, আবার কাউকে জোর করে ক্ষমতা ছাড়তে বাধ্য করা হয়।",0
সময় থাকতে ক্ষমতা ছেড়ে পালিয়ে যান।,0
কিন্তু প্রধানমন্ত্রীকে হটানোর ক্ষমতা কারো নেই,0
"ভুল কথা, সকল শ্রেণীর মানুষ এক হয়েছে। শুধু লুটেরা তন্ত্রের সাথে যারা জড়িত তারা ব্যতীত।",0
শেখ হাসিনা তাহলে এতোটাই খারাপ যে ডান বাম কেউ ই শেখ হাসিনা কে চাই না,1
জনগণের প্রত্যক্ষ ভোটে নির্বাচিত নন।,0
ক্ষমতা পরিবর্তন শীল!এই বাক্যটি প্রমাণের অপেক্ষায় গোটা বাংলাদেশ,0
